household_id,date,location_type,climate_zone,household_size,income_level,inflation_rate,electricity_tariff_rate,past_month_units,ac_hours,fan_hours,next_month_units
13,2020-04-01,Semi-urban,DryHot,4,Middle,6.4,47.05,121.4,6.51,9.75,122.9
7,2024-02-01,Urban,WetWarm,4,Middle,8.92,53.22,86.5,3.72,6.71,106.4
1,2018-10-01,Urban,WetWarm,2,High,5.61,43.66,79.6,3.73,6.82,99.3
18,2020-03-01,Rural,DryHot,6,Low,6.58,46.09,45.8,0.11,2.16,46.5
20,2023-03-01,Rural,DryHot,8,Low,9.8,51.48,52.5,0.1,1.56,61.3
3,2019-07-01,Urban,Cool,3,Middle,5.35,45.6,41.3,0.44,4.48,49.9
12,2023-03-01,Semi-urban,WetWarm,4,Low,9.8,51.48,40.2,0.1,1.52,47.9
5,2024-01-01,Urban,WetWarm,6,High,8.24,53.11,90.2,3.28,9.26,88.5
16,2021-05-01,Rural,DryHot,8,Low,6.75,48.98,62.6,0.84,2.59,62.2
17,2020-01-01,Rural,DryHot,5,Low,7.09,48.14,52.4,0.87,1.63,52.4
12,2019-03-01,Semi-urban,WetWarm,4,Low,6.58,46.65,43.3,0.4,1.49,41.7
15,2018-08-01,Rural,DryHot,7,Low,6.5,44.19,52.9,0.39,2.43,58.2
17,2022-05-01,Rural,DryHot,5,Low,7.33,50.32,46.4,0.38,1.14,50.6
11,2020-09-01,Semi-urban,WetWarm,7,Middle,6.43,47.17,101.5,4.18,6.26,116.1
4,2021-05-01,Urban,Cool,7,High,6.75,48.98,57.5,0.7,3.71,59.0
7,2021-11-01,Urban,WetWarm,4,Middle,5.9,48.14,101.6,4.96,7.42,97.9
13,2024-05-01,Semi-urban,DryHot,4,Middle,9.22,53.0,119.0,6.21,8.84,123.6
4,2017-10-01,Urban,Cool,7,High,5.48,43.4,75.2,1.99,6.07,56.8
16,2024-03-01,Rural,DryHot,8,Low,9.17,54.27,63.3,0.8,3.6,54.4
5,2019-07-01,Urban,WetWarm,6,High,5.35,45.6,88.0,3.29,7.47,101.1
1,2017-07-01,Urban,WetWarm,2,High,6.06,41.63,79.5,3.55,10.0,80.5
10,2022-08-01,Semi-urban,WetWarm,6,Middle,4.83,50.03,116.3,5.52,9.88,92.4
17,2021-05-01,Rural,DryHot,5,Low,6.75,48.98,44.1,0.18,3.04,54.7
7,2017-03-01,Urban,WetWarm,4,Middle,3.88,42.42,82.0,3.48,6.03,107.9
14,2017-01-01,Semi-urban,WetWarm,7,Middle,5.52,42.88,97.6,3.74,9.51,109.5
19,2021-02-01,Rural,DryHot,6,Low,7.0,48.02,56.1,0.82,2.97,52.2
10,2020-07-01,Semi-urban,WetWarm,6,Middle,6.81,47.2,93.1,3.71,6.76,95.4
14,2016-07-01,Semi-urban,WetWarm,7,Middle,3.33,41.55,109.5,4.73,8.91,96.9
20,2017-10-01,Rural,DryHot,8,Low,5.48,43.4,56.1,0.43,1.13,60.4
18,2022-02-01,Rural,DryHot,6,Low,7.32,50.82,50.4,0.37,1.83,52.9
13,2021-03-01,Semi-urban,DryHot,4,Middle,6.45,48.63,142.3,7.91,13.66,112.7
14,2015-05-01,Semi-urban,WetWarm,7,Middle,3.28,40.53,118.8,5.62,7.52,106.7
10,2015-05-01,Semi-urban,WetWarm,6,Middle,3.28,40.53,108.7,5.11,6.68,102.8
3,2023-09-01,Urban,Cool,3,Middle,8.1,51.89,48.1,0.86,6.75,38.5
5,2021-05-01,Urban,WetWarm,6,High,6.75,48.98,85.3,3.05,6.89,117.7
11,2022-04-01,Semi-urban,WetWarm,7,Middle,9.28,50.94,117.0,5.21,9.08,123.9
20,2015-10-01,Rural,DryHot,8,Low,4.05,39.64,53.4,0.14,1.89,57.9
6,2021-09-01,Urban,Cool,5,Middle,8.17,49.5,47.6,0.21,6.51,52.6
8,2021-05-01,Urban,WetWarm,2,High,6.75,48.98,76.5,3.46,6.44,81.4
8,2020-04-01,Urban,WetWarm,2,High,6.4,47.05,79.1,3.71,6.03,100.0
3,2024-05-01,Urban,Cool,3,Middle,9.22,53.0,58.3,1.71,5.2,58.4
1,2022-08-01,Urban,WetWarm,2,High,4.83,50.03,82.4,3.81,7.91,77.9
16,2018-02-01,Rural,DryHot,8,Low,5.72,44.1,53.3,0.07,2.23,61.9
18,2019-03-01,Rural,DryHot,6,Low,6.58,46.65,50.3,0.35,3.56,51.2
18,2018-11-01,Rural,DryHot,6,Low,4.94,45.11,48.8,0.27,3.72,48.9
8,2017-04-01,Urban,WetWarm,2,High,4.36,41.99,91.5,4.65,8.35,89.9
3,2016-10-01,Urban,Cool,3,Middle,6.66,40.85,54.3,1.44,5.65,61.1
16,2017-03-01,Rural,DryHot,8,Low,3.88,42.42,56.0,0.44,1.22,57.9
7,2017-05-01,Urban,WetWarm,4,Middle,3.98,41.54,106.5,5.38,8.49,81.8
7,2023-02-01,Urban,WetWarm,4,Middle,7.16,53.38,104.3,5.1,7.41,103.8
14,2019-09-01,Semi-urban,WetWarm,7,Middle,6.4,44.99,109.3,4.74,8.37,113.6
5,2022-04-01,Urban,WetWarm,6,High,9.28,50.94,111.9,5.22,6.76,98.7
19,2021-05-01,Rural,DryHot,6,Low,6.75,48.98,50.9,0.49,2.11,52.1
16,2023-05-01,Rural,DryHot,8,Low,7.79,51.55,59.7,0.49,3.94,57.5
17,2016-05-01,Rural,DryHot,5,Low,6.6,41.29,43.9,0.1,3.03,42.5
20,2024-03-01,Rural,DryHot,8,Low,9.17,54.27,59.1,0.54,2.55,59.5
20,2023-08-01,Rural,DryHot,8,Low,8.07,51.87,63.7,0.92,2.36,63.6
17,2024-03-01,Rural,DryHot,5,Low,9.17,54.27,51.9,0.73,3.1,47.3
3,2020-01-01,Urban,Cool,3,Middle,7.09,48.14,49.7,1.0,5.43,46.1
11,2022-10-01,Semi-urban,WetWarm,7,Middle,7.72,50.29,103.6,4.21,7.17,125.4
20,2018-08-01,Rural,DryHot,8,Low,6.5,44.19,62.6,0.83,2.71,59.5
11,2020-12-01,Semi-urban,WetWarm,7,Middle,5.4,47.17,98.9,3.94,7.42,90.1
19,2024-08-01,Rural,DryHot,6,Low,8.43,53.8,55.1,0.86,1.38,54.0
9,2020-04-01,Semi-urban,WetWarm,5,Middle,6.4,47.05,107.8,5.1,8.54,84.6
3,2021-04-01,Urban,Cool,3,Middle,7.83,47.9,57.9,1.69,5.57,45.7
16,2023-08-01,Rural,DryHot,8,Low,8.07,51.87,56.5,0.42,1.2,57.4
4,2022-10-01,Urban,Cool,7,High,7.72,50.29,66.3,1.26,6.42,66.2
6,2015-02-01,Urban,Cool,5,Middle,3.76,38.74,55.3,0.91,6.7,56.6
2,2019-08-01,Urban,WetWarm,4,High,5.03,45.1,93.1,4.28,6.8,84.2
12,2016-01-01,Semi-urban,WetWarm,4,Low,4.7,41.48,49.0,0.9,3.57,47.2
10,2022-10-01,Semi-urban,WetWarm,6,Middle,7.72,50.29,95.4,3.91,6.15,111.0
1,2018-02-01,Urban,WetWarm,2,High,5.72,44.1,74.6,3.32,8.08,95.2
2,2015-04-01,Urban,WetWarm,4,High,1.75,40.36,108.9,5.52,9.47,97.2
8,2019-04-01,Urban,WetWarm,2,High,5.72,47.74,90.5,4.56,7.41,105.9
4,2017-11-01,Urban,Cool,7,High,5.01,42.21,56.8,0.55,5.91,56.9
10,2024-02-01,Semi-urban,WetWarm,6,Middle,8.92,53.22,88.0,3.15,7.48,96.0
19,2023-01-01,Rural,DryHot,6,Low,7.75,52.12,46.8,0.04,2.6,56.0
1,2018-04-01,Urban,WetWarm,2,High,5.64,44.85,98.5,5.29,7.06,94.7
4,2023-07-01,Urban,Cool,7,High,6.92,52.71,57.6,0.59,4.18,52.5
20,2019-07-01,Rural,DryHot,8,Low,5.35,45.6,52.1,0.06,1.09,52.9
15,2019-01-01,Rural,DryHot,7,Low,5.85,47.0,58.9,0.77,3.07,55.8
3,2022-08-01,Urban,Cool,3,Middle,4.83,50.03,38.7,0.26,3.58,56.9
14,2018-10-01,Semi-urban,WetWarm,7,Middle,5.61,43.66,111.5,4.92,8.31,92.6
2,2021-03-01,Urban,WetWarm,4,High,6.45,48.63,95.0,4.35,7.78,101.5
19,2022-12-01,Rural,DryHot,6,Low,8.4,50.51,49.8,0.49,1.07,46.8
20,2015-02-01,Rural,DryHot,8,Low,3.76,38.74,59.0,0.63,2.93,60.6
6,2017-11-01,Urban,Cool,5,Middle,5.01,42.21,60.7,1.49,4.14,47.1
3,2021-11-01,Urban,Cool,3,Middle,5.9,48.14,42.2,0.46,5.55,47.0
17,2016-04-01,Rural,DryHot,5,Low,4.55,40.52,45.4,0.31,1.37,43.9
3,2017-03-01,Urban,Cool,3,Middle,3.88,42.42,56.4,1.6,6.15,48.0
13,2022-09-01,Semi-urban,DryHot,4,Middle,7.7,49.7,114.7,5.93,8.27,81.6
17,2021-12-01,Rural,DryHot,5,Low,7.61,49.29,48.9,0.55,3.16,54.3
5,2023-04-01,Urban,WetWarm,6,High,9.92,52.84,99.3,4.07,8.04,116.4
12,2020-10-01,Semi-urban,WetWarm,4,Low,7.62,47.43,44.4,0.53,1.79,40.9
12,2018-04-01,Semi-urban,WetWarm,4,Low,5.64,44.85,41.4,0.15,3.78,43.2
18,2017-03-01,Rural,DryHot,6,Low,3.88,42.42,49.4,0.31,3.85,51.5
17,2016-02-01,Rural,DryHot,5,Low,4.35,40.95,50.4,0.81,1.76,47.3
9,2015-02-01,Semi-urban,WetWarm,5,Middle,3.76,38.74,93.1,4.07,7.03,100.1
17,2019-10-01,Rural,DryHot,5,Low,6.79,46.41,46.8,0.47,1.94,41.8
9,2023-02-01,Semi-urban,WetWarm,5,Middle,7.16,53.38,99.1,4.31,9.31,88.0
16,2017-07-01,Rural,DryHot,8,Low,6.06,41.63,52.0,0.04,1.65,63.4
12,2017-04-01,Semi-urban,WetWarm,4,Low,4.36,41.99,47.8,0.71,3.71,40.7
12,2020-07-01,Semi-urban,WetWarm,4,Low,6.81,47.2,49.8,0.81,3.77,46.2
8,2015-10-01,Urban,WetWarm,2,High,4.05,39.64,104.0,5.74,9.23,51.0
12,2021-07-01,Semi-urban,WetWarm,4,Low,6.41,49.22,47.0,0.6,3.47,43.7
20,2017-12-01,Rural,DryHot,8,Low,5.13,43.91,55.1,0.24,2.75,54.4
10,2024-06-01,Semi-urban,WetWarm,6,Middle,8.44,53.93,108.9,4.93,7.75,106.4
5,2022-09-01,Urban,WetWarm,6,High,7.7,49.7,103.3,4.43,9.16,121.6
10,2023-10-01,Semi-urban,WetWarm,6,Middle,8.9,52.53,84.2,3.0,6.05,61.3
18,2019-11-01,Rural,DryHot,6,Low,6.18,45.03,47.3,0.17,2.33,51.8
19,2016-02-01,Rural,DryHot,6,Low,4.35,40.95,46.6,0.16,1.41,46.6
10,2018-06-01,Semi-urban,WetWarm,6,Middle,4.67,44.51,119.5,5.78,9.89,113.1
10,2019-04-01,Semi-urban,WetWarm,6,Middle,5.72,47.74,98.4,4.07,7.52,87.4
20,2021-08-01,Rural,DryHot,8,Low,6.4,49.03,52.4,0.08,1.77,62.5
9,2021-03-01,Semi-urban,WetWarm,5,Middle,6.45,48.63,83.4,3.07,7.93,89.8
1,2019-06-01,Urban,WetWarm,2,High,4.79,45.98,80.0,3.64,8.05,95.5
7,2019-05-01,Urban,WetWarm,4,Middle,5.5,45.02,87.9,3.8,9.25,99.5
12,2019-10-01,Semi-urban,WetWarm,4,Low,6.79,46.41,44.2,0.52,1.85,38.9
18,2018-02-01,Rural,DryHot,6,Low,5.72,44.1,49.3,0.38,3.16,49.0
13,2016-02-01,Semi-urban,DryHot,4,Middle,4.35,40.95,127.5,6.96,10.29,131.0
5,2017-02-01,Urban,WetWarm,6,High,5.78,41.98,118.4,5.73,9.84,87.7
7,2017-09-01,Urban,WetWarm,4,Middle,5.1,42.5,102.8,5.17,6.92,112.3
11,2022-02-01,Semi-urban,WetWarm,7,Middle,7.32,50.82,102.0,3.98,9.57,121.4
18,2015-06-01,Rural,DryHot,6,Low,3.68,40.2,44.7,0.1,1.12,46.6
15,2016-10-01,Rural,DryHot,7,Low,6.66,40.85,56.1,0.68,1.05,58.8
13,2021-12-01,Semi-urban,DryHot,4,Middle,7.61,49.29,106.4,5.08,10.87,130.1
9,2022-01-01,Semi-urban,WetWarm,5,Middle,6.2,49.99,99.9,4.52,7.37,107.6
4,2015-06-01,Urban,Cool,7,High,3.68,40.2,59.6,0.76,5.23,50.2
9,2016-07-01,Semi-urban,WetWarm,5,Middle,3.33,41.55,95.0,4.13,7.74,80.7
17,2018-05-01,Rural,DryHot,5,Low,6.91,43.42,44.3,0.27,1.86,42.5
16,2020-09-01,Rural,DryHot,8,Low,6.43,47.17,60.9,0.73,1.72,65.5
3,2020-10-01,Urban,Cool,3,Middle,7.62,47.43,49.5,1.16,3.01,57.6
18,2021-05-01,Rural,DryHot,6,Low,6.75,48.98,56.3,0.93,2.66,52.0
17,2024-08-01,Rural,DryHot,5,Low,8.43,53.8,43.5,0.21,1.4,53.1
20,2022-01-01,Rural,DryHot,8,Low,6.2,49.99,61.4,0.81,1.98,60.4
5,2023-08-01,Urban,WetWarm,6,High,8.07,51.87,104.2,4.54,7.16,104.6
5,2022-07-01,Urban,WetWarm,6,High,7.22,50.86,99.4,4.08,9.57,97.4
7,2019-04-01,Urban,WetWarm,4,Middle,5.72,47.74,99.0,4.68,8.33,87.9
19,2022-01-01,Rural,DryHot,6,Low,6.2,49.99,50.3,0.48,1.67,48.7
16,2018-03-01,Rural,DryHot,8,Low,5.37,43.57,61.9,0.86,2.7,56.5
2,2017-09-01,Urban,WetWarm,4,High,5.1,42.5,84.6,3.45,8.93,79.3
18,2023-10-01,Rural,DryHot,6,Low,8.9,52.53,52.3,0.61,2.38,56.6
12,2021-10-01,Semi-urban,WetWarm,4,Low,7.89,49.62,50.4,0.92,2.28,48.9
16,2024-11-01,Rural,DryHot,8,Low,9.1,53.13,56.8,0.48,1.14,61.5
10,2015-01-01,Semi-urban,WetWarm,6,Middle,5.85,40.12,111.6,5.28,8.0,103.2
8,2021-12-01,Urban,WetWarm,2,High,7.61,49.29,72.3,3.03,7.32,78.2
11,2022-05-01,Semi-urban,WetWarm,7,Middle,7.33,50.32,123.9,5.93,7.3,114.3
3,2021-07-01,Urban,Cool,3,Middle,6.41,49.22,55.8,1.49,5.8,42.9
16,2015-08-01,Rural,DryHot,8,Low,3.63,39.43,61.7,0.88,2.03,53.7
15,2021-09-01,Rural,DryHot,7,Low,8.17,49.5,54.1,0.36,2.63,59.3
9,2021-06-01,Semi-urban,WetWarm,5,Middle,6.92,48.43,96.9,4.29,7.83,96.1
17,2019-03-01,Rural,DryHot,5,Low,6.58,46.65,46.3,0.41,2.01,42.2
9,2023-03-01,Semi-urban,WetWarm,5,Middle,9.8,51.48,88.0,3.44,8.19,99.2
10,2016-12-01,Semi-urban,WetWarm,6,Middle,4.19,41.66,106.7,4.87,7.81,105.9
9,2024-11-01,Semi-urban,WetWarm,5,Middle,9.1,53.13,89.6,3.53,8.98,93.6
20,2019-04-01,Rural,DryHot,8,Low,5.72,47.74,56.8,0.38,3.14,52.7
3,2023-08-01,Urban,Cool,3,Middle,8.07,51.87,52.5,1.29,5.1,48.1
8,2019-01-01,Urban,WetWarm,2,High,5.85,47.0,83.2,3.9,8.81,105.7
9,2022-04-01,Semi-urban,WetWarm,5,Middle,9.28,50.94,96.6,4.13,9.99,113.2
4,2018-03-01,Urban,Cool,7,High,5.37,43.57,56.5,0.68,3.24,61.1
5,2023-09-01,Urban,WetWarm,6,High,8.1,51.89,104.6,4.59,7.61,104.2
6,2023-09-01,Urban,Cool,5,Middle,8.1,51.89,51.6,0.57,5.91,56.7
17,2022-07-01,Rural,DryHot,5,Low,7.22,50.86,48.5,0.44,3.98,50.9
17,2024-06-01,Rural,DryHot,5,Low,8.44,53.93,42.9,0.06,3.17,53.5
3,2019-05-01,Urban,Cool,3,Middle,5.5,45.02,53.2,1.43,4.15,55.9
16,2015-12-01,Rural,DryHot,8,Low,4.23,40.4,59.2,0.59,2.22,57.2
13,2016-06-01,Semi-urban,DryHot,4,Middle,5.06,40.53,117.1,6.17,8.72,148.3
11,2017-11-01,Semi-urban,WetWarm,7,Middle,5.01,42.21,96.1,3.77,7.19,119.8
12,2020-02-01,Semi-urban,WetWarm,4,Low,5.63,47.98,46.0,0.67,2.19,50.6
2,2016-10-01,Urban,WetWarm,4,High,6.66,40.85,46.0,0.5,4.68,111.1
11,2015-01-01,Semi-urban,WetWarm,7,Middle,5.85,40.12,92.4,3.33,9.57,91.1
1,2015-03-01,Urban,WetWarm,2,High,4.31,39.53,80.7,3.71,9.33,73.7
11,2016-05-01,Semi-urban,WetWarm,7,Middle,6.6,41.29,110.9,4.77,9.59,119.6
5,2023-01-01,Urban,WetWarm,6,High,7.75,52.12,86.5,3.06,7.34,105.8
14,2020-03-01,Semi-urban,WetWarm,7,Middle,6.58,46.09,115.8,5.34,6.02,97.3
3,2023-04-01,Urban,Cool,3,Middle,9.92,52.84,57.4,1.7,3.95,40.0
3,2024-11-01,Urban,Cool,3,Middle,9.1,53.13,40.9,0.42,4.26,47.3
14,2016-04-01,Semi-urban,WetWarm,7,Middle,4.55,40.52,109.9,4.8,8.06,99.9
8,2022-02-01,Urban,WetWarm,2,High,7.32,50.82,109.2,6.0,9.6,84.6
3,2017-02-01,Urban,Cool,3,Middle,5.78,41.98,37.5,0.1,4.95,56.4
4,2016-05-01,Urban,Cool,7,High,6.6,41.29,54.3,0.33,5.95,69.6
13,2022-03-01,Semi-urban,DryHot,4,Middle,6.81,49.83,144.5,8.23,11.88,134.3
16,2018-01-01,Rural,DryHot,8,Low,5.51,45.17,55.9,0.32,1.74,53.3
4,2021-08-01,Urban,Cool,7,High,6.4,49.03,74.1,1.98,4.41,62.8
3,2017-08-01,Urban,Cool,3,Middle,5.69,43.38,49.9,1.04,6.41,51.9
17,2023-11-01,Rural,DryHot,5,Low,7.94,51.31,43.1,0.06,2.56,47.4
13,2016-11-01,Semi-urban,DryHot,4,Middle,4.88,41.19,112.9,5.95,6.56,86.5
3,2015-05-01,Urban,Cool,3,Middle,3.28,40.53,38.2,0.09,5.12,45.5
17,2021-08-01,Rural,DryHot,5,Low,6.4,49.03,46.0,0.31,3.33,46.7
9,2019-11-01,Semi-urban,WetWarm,5,Middle,6.18,45.03,56.3,1.08,4.18,103.6
20,2022-12-01,Rural,DryHot,8,Low,8.4,50.51,59.7,0.6,2.0,64.1
10,2021-12-01,Semi-urban,WetWarm,6,Middle,7.61,49.29,86.3,3.06,7.93,91.1
9,2017-07-01,Semi-urban,WetWarm,5,Middle,6.06,41.63,100.3,4.44,9.43,92.1
16,2020-03-01,Rural,DryHot,8,Low,6.58,46.09,55.0,0.21,3.01,59.4
19,2023-06-01,Rural,DryHot,6,Low,8.09,52.46,46.5,0.1,1.63,55.4
6,2015-08-01,Urban,Cool,5,Middle,3.63,39.43,65.5,1.77,6.47,64.2
4,2019-08-01,Urban,Cool,7,High,5.03,45.1,69.6,1.48,6.71,61.3
3,2017-10-01,Urban,Cool,3,Middle,5.48,43.4,38.0,0.12,5.16,58.9
17,2023-10-01,Rural,DryHot,5,Low,8.9,52.53,50.7,0.59,3.72,43.1
7,2020-01-01,Urban,WetWarm,4,Middle,7.09,48.14,88.4,3.69,9.83,80.1
10,2022-12-01,Semi-urban,WetWarm,6,Middle,8.4,50.51,95.3,3.91,6.42,113.0
3,2015-11-01,Urban,Cool,3,Middle,3.63,39.56,43.0,0.45,6.01,51.3
4,2019-06-01,Urban,Cool,7,High,4.79,45.98,64.8,1.24,3.82,53.8
19,2019-03-01,Rural,DryHot,6,Low,6.58,46.65,51.9,0.55,2.16,54.9
16,2017-04-01,Rural,DryHot,8,Low,4.36,41.99,57.9,0.53,1.74,61.6
13,2023-11-01,Semi-urban,DryHot,4,Middle,7.94,51.31,111.2,5.57,9.03,153.6
3,2020-11-01,Urban,Cool,3,Middle,6.29,47.83,57.6,1.81,3.56,41.1
15,2016-01-01,Rural,DryHot,7,Low,4.7,41.48,51.1,0.23,1.72,53.2
8,2019-06-01,Urban,WetWarm,2,High,4.79,45.98,74.8,3.32,7.41,83.9
9,2022-10-01,Semi-urban,WetWarm,5,Middle,7.72,50.29,87.7,3.42,8.47,111.3
4,2020-06-01,Urban,Cool,7,High,6.37,48.4,73.7,1.87,6.22,51.2
20,2018-12-01,Rural,DryHot,8,Low,5.9,44.28,60.0,0.78,1.48,54.7
1,2016-04-01,Urban,WetWarm,2,High,4.55,40.52,103.8,5.65,8.81,72.7
19,2015-07-01,Rural,DryHot,6,Low,4.18,41.28,51.7,0.57,1.35,54.4
7,2015-02-01,Urban,WetWarm,4,Middle,3.76,38.74,106.0,5.49,6.78,87.7
16,2022-05-01,Rural,DryHot,8,Low,7.33,50.32,61.6,0.79,2.33,62.4
18,2020-04-01,Rural,DryHot,6,Low,6.4,47.05,46.5,0.09,2.53,54.6
9,2016-10-01,Semi-urban,WetWarm,5,Middle,6.66,40.85,65.9,1.78,6.84,85.6
3,2024-01-01,Urban,Cool,3,Middle,8.24,53.11,57.2,1.71,4.63,46.4
13,2015-09-01,Semi-urban,DryHot,4,Middle,4.94,39.84,123.0,6.79,8.31,83.1
17,2019-12-01,Rural,DryHot,5,Low,6.71,46.48,54.4,0.97,3.39,52.4
11,2021-02-01,Semi-urban,WetWarm,7,Middle,7.0,48.02,122.1,5.67,9.63,91.4
5,2018-11-01,Urban,WetWarm,6,High,4.94,45.11,111.3,5.09,8.96,120.6
15,2024-08-01,Rural,DryHot,7,Low,8.43,53.8,48.4,0.01,1.34,56.4
4,2015-04-01,Urban,Cool,7,High,1.75,40.36,54.1,0.38,5.99,73.6
11,2020-02-01,Semi-urban,WetWarm,7,Middle,5.63,47.98,124.7,5.88,9.39,111.3
2,2020-03-01,Urban,WetWarm,4,High,6.58,46.09,82.9,3.28,9.04,96.0
9,2017-02-01,Semi-urban,WetWarm,5,Middle,5.78,41.98,88.5,3.73,6.48,101.8
15,2020-07-01,Rural,DryHot,7,Low,6.81,47.2,50.4,0.19,1.99,52.9
2,2019-03-01,Urban,WetWarm,4,High,6.58,46.65,106.0,5.41,6.1,101.5
10,2017-09-01,Semi-urban,WetWarm,6,Middle,5.1,42.5,87.8,3.23,8.7,119.0
9,2022-11-01,Semi-urban,WetWarm,5,Middle,7.48,50.07,111.3,5.31,9.04,82.6
9,2024-08-01,Semi-urban,WetWarm,5,Middle,8.43,53.8,108.0,5.01,8.06,86.5
7,2022-09-01,Urban,WetWarm,4,Middle,7.7,49.7,113.6,5.82,8.23,112.5
2,2020-08-01,Urban,WetWarm,4,High,4.72,47.66,104.3,5.2,7.22,105.6
6,2016-08-01,Urban,Cool,5,Middle,3.6,42.39,61.7,1.42,6.45,59.5
18,2016-04-01,Rural,DryHot,6,Low,4.55,40.52,54.2,0.78,2.75,50.4
2,2017-08-01,Urban,WetWarm,4,High,5.69,43.38,112.4,5.75,8.72,84.6
2,2018-03-01,Urban,WetWarm,4,High,5.37,43.57,94.3,4.36,8.01,92.3
14,2023-11-01,Semi-urban,WetWarm,7,Middle,7.94,51.31,59.5,0.7,6.28,90.1
3,2017-09-01,Urban,Cool,3,Middle,5.1,42.5,51.9,1.35,3.12,38.0
6,2016-03-01,Urban,Cool,5,Middle,4.66,41.43,66.5,1.9,6.98,66.1
5,2015-10-01,Urban,WetWarm,6,High,4.05,39.64,100.9,4.29,9.57,50.6
17,2018-07-01,Rural,DryHot,5,Low,4.34,44.49,47.9,0.39,3.88,41.4
14,2017-08-01,Semi-urban,WetWarm,7,Middle,5.69,43.38,108.6,4.69,8.54,112.5
9,2017-11-01,Semi-urban,WetWarm,5,Middle,5.01,42.21,113.1,5.51,10.0,108.6
16,2019-03-01,Rural,DryHot,8,Low,6.58,46.65,63.5,0.98,2.77,57.1
4,2015-12-01,Urban,Cool,7,High,4.23,40.4,72.1,1.94,4.32,71.6
11,2015-09-01,Semi-urban,WetWarm,7,Middle,4.94,39.84,113.5,5.14,7.06,121.4
2,2023-07-01,Urban,WetWarm,4,High,6.92,52.71,110.3,5.5,8.46,87.8
5,2024-06-01,Urban,WetWarm,6,High,8.44,53.93,90.9,3.4,8.47,89.2
4,2024-09-01,Urban,Cool,7,High,8.7,53.58,58.5,0.69,4.83,52.8
17,2017-02-01,Rural,DryHot,5,Low,5.78,41.98,49.4,0.61,1.81,47.1
14,2024-05-01,Semi-urban,WetWarm,7,Middle,9.22,53.0,95.2,3.49,7.8,98.8
5,2016-06-01,Urban,WetWarm,6,High,5.06,40.53,89.6,3.48,6.06,97.0
7,2024-12-01,Urban,WetWarm,4,Middle,8.25,53.18,107.6,5.26,8.92,
6,2022-04-01,Urban,Cool,5,Middle,9.28,50.94,63.2,1.57,5.62,52.7
13,2019-10-01,Semi-urban,DryHot,4,Middle,6.79,46.41,105.1,5.07,9.57,85.6
2,2016-05-01,Urban,WetWarm,4,High,6.6,41.29,97.7,4.51,9.91,83.5
6,2017-05-01,Urban,Cool,5,Middle,3.98,41.54,65.1,1.76,6.05,44.2
3,2022-11-01,Urban,Cool,3,Middle,7.48,50.07,57.1,1.57,6.33,59.5
12,2016-07-01,Semi-urban,WetWarm,4,Low,3.33,41.55,41.2,0.23,3.42,41.2
17,2020-10-01,Rural,DryHot,5,Low,7.62,47.43,42.8,0.0,2.78,48.1
10,2015-11-01,Semi-urban,WetWarm,6,Middle,3.63,39.56,67.8,1.67,6.27,98.7
14,2019-12-01,Semi-urban,WetWarm,7,Middle,6.71,46.48,117.0,5.34,8.55,108.2
6,2024-03-01,Urban,Cool,5,Middle,9.17,54.27,64.3,1.55,6.46,58.3
11,2024-08-01,Semi-urban,WetWarm,7,Middle,8.43,53.8,112.9,4.91,7.54,112.6
19,2023-07-01,Rural,DryHot,6,Low,6.92,52.71,55.4,0.74,3.09,56.2
19,2018-11-01,Rural,DryHot,6,Low,4.94,45.11,52.1,0.57,3.78,51.1
4,2023-10-01,Urban,Cool,7,High,8.9,52.53,63.0,0.88,6.23,62.6
11,2017-06-01,Semi-urban,WetWarm,7,Middle,5.6,43.5,121.3,5.68,9.78,116.5
20,2022-10-01,Rural,DryHot,8,Low,7.72,50.29,58.3,0.38,3.61,52.6
20,2017-02-01,Rural,DryHot,8,Low,5.78,41.98,54.1,0.06,3.9,52.2
11,2019-08-01,Semi-urban,WetWarm,7,Middle,5.03,45.1,106.4,4.61,6.17,97.4
16,2016-06-01,Rural,DryHot,8,Low,5.06,40.53,60.1,0.67,2.22,60.4
12,2016-03-01,Semi-urban,WetWarm,4,Low,4.66,41.43,49.3,0.91,3.13,38.4
17,2017-10-01,Rural,DryHot,5,Low,5.48,43.4,47.3,0.48,3.44,45.7
20,2018-07-01,Rural,DryHot,8,Low,4.34,44.49,57.1,0.43,3.13,62.6
20,2015-01-01,Rural,DryHot,8,Low,5.85,40.12,51.9,0.05,2.1,59.0
17,2018-12-01,Rural,DryHot,5,Low,5.9,44.28,43.0,0.01,3.6,48.6
7,2023-01-01,Urban,WetWarm,4,Middle,7.75,52.12,93.4,4.17,8.19,104.3
3,2017-11-01,Urban,Cool,3,Middle,5.01,42.21,58.9,1.89,4.72,50.1
13,2023-02-01,Semi-urban,DryHot,4,Middle,7.16,53.38,142.9,8.04,10.63,133.8
8,2017-02-01,Urban,WetWarm,2,High,5.78,41.98,80.9,3.74,9.2,98.0
1,2023-06-01,Urban,WetWarm,2,High,8.09,52.46,109.3,5.92,8.93,107.5
12,2021-04-01,Semi-urban,WetWarm,4,Low,7.83,47.9,50.4,0.96,1.95,40.9
1,2023-12-01,Urban,WetWarm,2,High,7.95,51.32,78.3,3.53,8.7,103.4
20,2024-01-01,Rural,DryHot,8,Low,8.24,53.11,55.2,0.1,3.98,58.8
